CustomerID,Age,Gender,MaritalStatus,IncomeLevel,LoginFrequency,ServiceUsage,Total_Transactions,Total_Amount_Spent,Avg_Amount_Spent,Total_Service_Interactions,Total_Complaints,Total_Unresolved,ChurnStatus,Days_Since_Last_Login
1,62,M,Single,Low,34,Mobile App,1,416.5,416.5,1.0,0.0,0.0,0,71
2,65,M,Married,Low,5,Website,7,1547.4199999999998,221.05999999999997,1.0,0.0,0.0,1,26
3,18,M,Single,Low,3,Website,6,1702.98,283.83,1.0,0.0,0.0,0,46
4,21,M,Widowed,Low,2,Website,5,917.29,183.458,2.0,0.0,1.0,0,128
5,21,M,Divorced,Medium,41,Website,8,2001.49,250.18625,0.0,0.0,0.0,0,65
6,57,F,Divorced,Medium,2,Website,5,1164.29,232.858,1.0,0.0,0.0,0,105
7,27,F,Married,High,32,Mobile App,1,86.73,86.73,0.0,0.0,0.0,0,358
8,37,M,Single,Low,17,Online Banking,7,2046.88,292.4114285714286,2.0,0.0,2.0,1,253
9,39,M,Divorced,High,24,Website,5,1317.24,263.448,1.0,0.0,0.0,0,187
10,68,M,Married,High,29,Online Banking,7,1397.36,199.62285714285713,0.0,0.0,0.0,1,352
11,54,M,Divorced,Medium,30,Online Banking,5,1733.83,346.76599999999996,2.0,0.0,1.0,0,343
12,41,F,Married,Low,43,Website,1,87.1,87.1,2.0,0.0,1.0,0,0
13,24,F,Divorced,Low,10,Mobile App,3,392.02,130.67333333333332,1.0,1.0,0.0,0,179
14,42,M,Widowed,Medium,26,Online Banking,9,2843.59,315.95444444444445,2.0,1.0,1.0,0,355
15,42,M,Divorced,Medium,44,Online Banking,8,1914.02,239.2525,2.0,1.0,2.0,0,199
16,30,F,Single,Medium,41,Online Banking,9,2019.79,224.42111111111112,2.0,0.0,0.0,1,291
17,19,M,Married,Low,8,Online Banking,7,1625.27,232.18142857142857,2.0,0.0,1.0,0,119
18,56,F,Married,High,37,Website,5,951.3800000000001,190.276,1.0,0.0,1.0,1,37
19,57,F,Divorced,High,39,Online Banking,5,1017.26,203.452,2.0,2.0,2.0,0,298
20,41,M,Single,Low,16,Website,9,2775.85,308.42777777777775,1.0,0.0,0.0,0,138
21,64,M,Divorced,High,18,Website,5,913.02,182.60399999999998,0.0,0.0,0.0,0,198
22,42,F,Divorced,Low,42,Mobile App,6,1582.73,263.78833333333336,2.0,0.0,0.0,0,239
23,35,F,Divorced,Low,19,Mobile App,4,1490.74,372.685,2.0,2.0,1.0,0,177
24,55,M,Widowed,Medium,12,Mobile App,5,1143.22,228.644,1.0,1.0,0.0,0,88
25,43,F,Married,Low,27,Mobile App,3,764.77,254.92333333333332,1.0,0.0,0.0,0,319
26,31,M,Single,Medium,45,Mobile App,3,571.76,190.58666666666667,1.0,1.0,0.0,1,93
27,26,M,Widowed,Medium,22,Mobile App,8,2210.6,276.325,1.0,0.0,1.0,0,91
28,27,F,Widowed,High,42,Online Banking,6,1702.26,283.71,2.0,1.0,2.0,0,66
29,38,F,Divorced,Medium,34,Website,3,853.0699999999999,284.3566666666666,2.0,0.0,1.0,0,120
30,69,M,Divorced,High,38,Website,2,706.66,353.33,2.0,2.0,1.0,0,172
31,34,M,Divorced,Low,23,Online Banking,5,1108.56,221.712,2.0,1.0,0.0,0,136
32,69,F,Married,High,48,Mobile App,5,1225.52,245.10399999999998,0.0,0.0,0.0,0,359
33,23,M,Divorced,High,24,Mobile App,2,689.0,344.5,1.0,0.0,0.0,1,226
34,33,M,Widowed,High,44,Online Banking,9,1886.4,209.60000000000002,2.0,0.0,1.0,0,272
35,65,M,Married,Low,19,Mobile App,3,779.8399999999999,259.94666666666666,1.0,1.0,1.0,0,222
36,18,F,Widowed,Low,6,Online Banking,6,1321.5500000000002,220.25833333333335,1.0,0.0,0.0,0,323
37,36,F,Married,Medium,3,Online Banking,9,3166.88,351.8755555555556,1.0,1.0,0.0,0,125
38,53,F,Married,Low,47,Online Banking,3,874.86,291.62,1.0,0.0,0.0,0,34
39,42,M,Married,Medium,26,Online Banking,5,1191.94,238.388,0.0,0.0,0.0,0,345
40,67,F,Widowed,Low,20,Website,7,1578.3500000000001,225.47857142857146,1.0,1.0,0.0,0,78
41,69,F,Married,High,38,Mobile App,2,363.22,181.61,1.0,0.0,1.0,1,180
42,47,M,Widowed,Medium,10,Mobile App,3,530.61,176.87,0.0,0.0,0.0,0,167
43,37,M,Single,Low,25,Mobile App,7,2213.63,316.23285714285714,2.0,0.0,1.0,0,220
44,37,F,Widowed,Low,35,Mobile App,3,687.8199999999999,229.2733333333333,1.0,0.0,1.0,0,48
45,32,F,Widowed,Low,49,Online Banking,1,300.42,300.42,1.0,1.0,1.0,0,120
46,57,F,Married,High,24,Online Banking,1,134.67,134.67,0.0,0.0,0.0,1,153
47,50,F,Married,Medium,21,Website,7,1466.37,209.48142857142855,0.0,0.0,0.0,0,256
48,19,M,Divorced,Medium,34,Website,7,1597.29,228.18428571428572,0.0,0.0,0.0,0,202
49,27,F,Single,Medium,18,Online Banking,3,641.48,213.82666666666668,0.0,0.0,0.0,0,315
50,50,F,Single,Low,19,Online Banking,4,1514.62,378.655,2.0,1.0,2.0,0,169
51,49,M,Divorced,Medium,3,Mobile App,3,549.86,183.28666666666666,0.0,0.0,0.0,1,61
52,28,M,Widowed,Medium,6,Mobile App,1,401.25,401.25,0.0,0.0,0.0,0,318
53,41,F,Widowed,Low,20,Mobile App,7,1255.34,179.3342857142857,0.0,0.0,0.0,0,90
54,53,F,Married,Low,22,Online Banking,2,461.21000000000004,230.60500000000002,2.0,1.0,0.0,0,345
55,29,F,Single,Low,33,Website,5,1129.35,225.86999999999998,0.0,0.0,0.0,0,135
56,68,F,Married,Low,14,Mobile App,5,1443.46,288.692,0.0,0.0,0.0,0,133
57,46,F,Divorced,High,44,Online Banking,3,597.75,199.25,1.0,1.0,1.0,0,164
58,52,M,Single,High,9,Online Banking,6,2215.82,369.30333333333334,2.0,1.0,2.0,0,258
59,18,M,Married,Medium,45,Online Banking,3,292.51,97.50333333333333,0.0,0.0,0.0,0,20
60,18,F,Single,High,25,Mobile App,4,781.09,195.2725,2.0,0.0,1.0,0,304
61,54,M,Single,Low,47,Website,3,678.97,226.32333333333335,1.0,1.0,0.0,1,4
62,23,F,Married,High,16,Mobile App,4,840.0,210.0,2.0,1.0,0.0,0,126
63,56,M,Married,Low,7,Mobile App,9,2205.11,245.01222222222225,0.0,0.0,0.0,0,219
64,58,F,Single,High,11,Online Banking,3,965.21,321.7366666666667,0.0,0.0,0.0,0,211
65,35,F,Divorced,Low,27,Mobile App,5,1359.8899999999999,271.97799999999995,0.0,0.0,0.0,0,97
66,33,M,Widowed,Medium,40,Online Banking,8,1409.11,176.13875,0.0,0.0,0.0,0,136
67,22,F,Single,Medium,17,Online Banking,4,701.76,175.44,2.0,0.0,0.0,0,161
68,59,F,Divorced,High,5,Website,4,886.4799999999999,221.61999999999998,2.0,1.0,2.0,1,159
69,60,F,Single,Low,29,Mobile App,4,1038.53,259.6325,1.0,0.0,0.0,0,48
70,49,F,Married,Medium,10,Mobile App,7,2453.98,350.56857142857143,0.0,0.0,0.0,0,291
71,19,F,Divorced,Low,47,Online Banking,3,474.59000000000003,158.1966666666667,2.0,0.0,1.0,1,136
72,19,F,Divorced,High,25,Online Banking,6,1080.4,180.0666666666667,2.0,2.0,1.0,1,250
73,57,M,Single,Low,24,Online Banking,9,2254.22,250.46888888888887,1.0,0.0,0.0,1,65
74,59,M,Widowed,Low,44,Mobile App,8,2083.79,260.47375,1.0,1.0,0.0,0,315
75,53,F,Single,High,12,Mobile App,4,769.97,192.4925,1.0,0.0,0.0,1,197
76,56,F,Widowed,Medium,5,Website,4,883.92,220.98,2.0,1.0,1.0,1,236
77,29,M,Divorced,High,29,Online Banking,8,1797.06,224.6325,0.0,0.0,0.0,0,77
78,64,M,Widowed,Low,35,Mobile App,3,816.89,272.2966666666667,1.0,0.0,1.0,0,85
79,36,M,Married,High,23,Online Banking,3,931.3199999999999,310.44,1.0,1.0,0.0,1,255
80,45,M,Widowed,High,32,Mobile App,1,110.82,110.82,0.0,0.0,0.0,0,205
81,18,F,Widowed,Low,40,Website,8,2181.77,272.72125,0.0,0.0,0.0,1,28
82,32,F,Divorced,High,19,Mobile App,1,232.38,232.38,0.0,0.0,0.0,0,237
83,53,M,Widowed,Medium,25,Mobile App,6,1419.9199999999998,236.6533333333333,2.0,0.0,2.0,0,0
84,30,M,Divorced,Medium,45,Online Banking,5,1545.91,309.182,0.0,0.0,0.0,0,31
85,60,M,Married,High,37,Mobile App,9,1690.08,187.78666666666666,0.0,0.0,0.0,0,145
86,38,M,Married,Low,1,Website,7,1674.6599999999999,239.23714285714283,0.0,0.0,0.0,0,74
87,29,F,Single,High,43,Website,5,1411.84,282.368,2.0,1.0,1.0,0,39
88,22,M,Single,High,13,Online Banking,2,447.34000000000003,223.67000000000002,0.0,0.0,0.0,0,326
89,24,M,Single,Medium,12,Mobile App,7,1951.99,278.85571428571427,0.0,0.0,0.0,0,116
90,22,M,Married,Medium,47,Online Banking,6,1229.96,204.99333333333334,1.0,0.0,0.0,0,215
91,65,F,Widowed,Low,43,Mobile App,9,1804.74,200.52666666666667,2.0,0.0,1.0,0,331
92,21,F,Divorced,Low,37,Mobile App,8,2265.28,283.16,2.0,0.0,1.0,0,183
93,30,F,Married,Low,42,Mobile App,5,848.07,169.614,2.0,2.0,0.0,0,76
94,54,M,Widowed,High,41,Website,3,1113.6100000000001,371.2033333333334,0.0,0.0,0.0,0,187
95,58,F,Single,High,12,Online Banking,3,677.27,225.75666666666666,1.0,1.0,0.0,0,194
96,32,F,Divorced,High,36,Mobile App,1,161.84,161.84,2.0,2.0,2.0,0,307
97,33,M,Single,High,38,Website,2,553.65,276.825,2.0,1.0,0.0,0,11
